pH,Turbidity,Chlorine,Dissolved Oxygen,Temperature,Potability
7.71,3.99,0.64,7.17,0,TRUE
7.48,3.26,0.7,6.52,25,TRUE
6.72,3.38,0.54,10.82,0,FALSE
6.7,2.45,0.64,7.1,25,TRUE
7.36,2.78,0.54,7.64,0,TRUE
7.42,1.67,0.6,7.85,0,TRUE
8.26,4.63,0.93,6.56,0,TRUE
7.08,2.27,0.59,7.38,0,TRUE
7.15,1.25,0.51,7.48,25,TRUE
6.23,1.09,0.59,7.32,25,TRUE
7.41,1.43,0.76,7.42,0,TRUE
8.04,4.01,0.75,7.93,0,TRUE
6.59,4.12,0.89,6.66,25,TRUE
6.62,1.45,0.83,6.83,0,TRUE
8.8,2.18,0.83,6.87,50,TRUE
13.71,2.2,0.64,6.64,50,FALSE
7.61,3.37,0.96,6.57,0,TRUE
7.78,4.8,0.58,7.23,0,TRUE
7.12,1.28,0.97,7.18,25,TRUE
7.8,4.07,0.81,7.33,25,TRUE
6.74,2.86,0.85,7.52,25,TRUE
7.89,4.91,0.74,7.57,50,TRUE
8.34,1.45,0.72,7.96,50,TRUE
6.18,3.62,0.65,7.85,25,TRUE
8.71,2.49,0.65,7.93,50,TRUE
8.31,3.97,0.96,6.54,0,TRUE
7.58,1.43,0.86,7.99,0,TRUE
7.5,1.77,0.54,7.06,25,TRUE
7.89,4.38,0.53,15.36,0,FALSE
7.85,3.07,0.64,7.35,25,TRUE
8.84,1.77,0.84,7.46,50,TRUE
7.92,1.59,0.91,6.98,50,TRUE
6.77,1.88,0.97,6.51,25,TRUE
6.66,3.39,0.92,7.86,25,TRUE
6.73,3.56,0.77,7.29,25,TRUE
8.7,3.69,0.69,6.72,50,TRUE
8.85,4.26,0.5,7.85,50,TRUE
7.36,4.96,0.73,7.04,50,TRUE
7.55,3.46,0.98,7.1,25,TRUE
6.38,2.46,0.62,7.0,25,TRUE
7.21,3.1,0.98,7.09,0,TRUE
7.63,4.51,0.75,10.49,50,FALSE
7.86,1.77,0.59,7.02,50,TRUE
7.38,2.61,0.93,6.79,50,TRUE
7.43,1.21,0.58,7.57,25,TRUE
7.4,1.1,0.6,7.36,50,TRUE
7.36,2.52,0.84,6.88,0,TRUE
7.07,1.66,0.96,7.44,25,TRUE
8.28,3.13,0.76,7.81,0,TRUE
7.55,4.9,0.69,7.94,25,TRUE
7.96,1.0,0.97,6.7,25,TRUE
7.78,1.73,0.87,7.74,0,TRUE
8.68,4.99,0.81,7.26,50,TRUE
6.3,1.09,0.52,6.69,25,TRUE
6.57,13.14,0.69,7.77,25,FALSE
7.94,4.02,0.85,7.92,0,TRUE
7.32,2.63,0.61,7.64,0,TRUE
8.31,4.34,0.58,7.93,0,TRUE
7.24,1.86,0.55,6.61,25,TRUE
6.74,1.41,0.8,6.79,0,TRUE
7.49,4.15,0.91,6.83,50,TRUE
7.13,4.56,0.56,6.59,25,TRUE
6.71,2.25,0.59,7.38,25,TRUE
6.98,3.8,0.58,7.75,50,TRUE
7.17,4.4,0.97,6.96,50,TRUE
8.82,2.58,0.69,6.55,50,TRUE
7.76,4.64,0.88,7.29,0,TRUE
7.77,19.16,0.64,7.21,0,FALSE
8.02,3.51,0.97,7.2,50,TRUE
8.41,1.05,0.99,6.69,50,TRUE
7.31,1.04,0.75,7.62,25,TRUE
7.0,1.14,0.78,6.64,25,TRUE
7.82,4.68,0.62,7.16,0,TRUE
7.9,2.06,0.7,7.12,0,TRUE
8.22,4.83,0.96,6.87,50,TRUE
8.09,1.18,0.78,7.73,25,TRUE
8.05,1.23,0.7,7.05,50,TRUE
7.52,4.06,0.51,7.51,25,TRUE
6.19,1.76,0.67,6.86,25,TRUE
8.29,2.84,0.59,6.95,0,TRUE
7.0,3.0,0.82,18.01,0,FALSE
7.47,4.52,0.65,6.71,50,TRUE
7.26,1.36,0.83,6.83,0,TRUE
7.62,3.72,0.85,7.36,25,TRUE
7.18,2.91,0.62,6.61,25,TRUE
6.27,4.48,0.84,6.61,25,TRUE
8.82,1.62,0.82,7.94,50,TRUE
6.77,4.42,0.53,6.67,0,TRUE
8.23,4.73,0.92,6.59,50,TRUE
7.35,2.03,0.69,7.49,0,TRUE
7.08,1.26,0.91,7.57,25,TRUE
7.71,3.18,0.99,7.72,50,TRUE
7.46,4.44,0.59,7.26,50,TRUE
7.73,3.44,0.63,14.05,0,FALSE
7.18,1.62,0.78,7.56,50,TRUE
6.74,4.78,0.95,7.03,0,TRUE
7.16,2.79,0.82,7.13,0,TRUE
6.81,2.16,0.54,7.72,0,TRUE
6.94,4.84,0.81,7.72,25,TRUE
7.52,3.36,0.65,6.67,25,TRUE
8.78,1.59,0.85,7.15,50,TRUE
7.26,3.72,0.7,7.01,25,TRUE
7.3,3.74,0.9,7.8,50,TRUE
7.83,2.54,0.97,7.58,0,TRUE
6.55,3.47,0.7,7.06,0,TRUE
7.73,4.66,0.89,6.73,25,TRUE
7.65,4.12,18.66,6.53,0,FALSE
7.26,3.87,0.57,7.48,25,TRUE
6.23,2.21,0.9,6.71,25,TRUE
8.95,1.26,0.93,7.84,50,TRUE
6.87,1.35,0.51,7.69,0,TRUE
7.54,1.27,0.66,7.48,50,TRUE
6.39,1.56,0.88,6.72,25,TRUE
7.97,3.76,0.82,6.81,50,TRUE
7.6,2.62,0.54,7.71,50,TRUE
7.04,4.29,0.79,7.76,25,TRUE
8.32,1.68,0.77,7.46,0,TRUE
8.28,3.91,0.53,6.61,0,TRUE
7.36,3.75,0.64,6.55,50,TRUE
6.85,3.87,0.81,19.33,25,FALSE
8.29,3.16,0.88,6.91,50,TRUE
7.29,1.18,0.55,7.4,25,TRUE
7.73,3.72,0.6,7.88,50,TRUE
7.87,1.66,0.95,7.47,0,TRUE
7.5,4.22,0.64,7.71,50,TRUE
8.76,3.04,0.89,7.15,50,TRUE
7.62,3.98,0.77,7.55,0,TRUE
6.5,1.72,0.8,6.57,25,TRUE
8.5,2.39,0.71,7.27,0,TRUE
7.47,2.71,0.73,7.75,0,TRUE
6.33,4.46,0.94,7.56,25,TRUE
7.38,3.3,0.72,7.82,25,TRUE
7.8,9.77,0.71,6.97,50,FALSE
6.35,3.57,0.56,7.8,25,TRUE
6.75,3.7,0.63,7.58,25,TRUE
7.71,4.67,0.61,7.62,0,TRUE
7.87,1.23,0.86,7.34,0,TRUE
7.97,1.34,0.82,7.01,0,TRUE
6.86,1.46,0.55,7.73,25,TRUE
8.71,1.43,0.86,6.75,50,TRUE
8.27,3.39,0.61,7.83,0,TRUE
7.66,2.43,0.71,7.49,25,TRUE
7.51,1.89,0.72,7.6,0,TRUE
8.21,3.77,0.55,6.98,0,TRUE
6.99,1.43,0.63,6.83,50,TRUE
7.12,1.5,0.57,6.81,0,FALSE
7.21,4.04,0.82,6.85,25,TRUE
7.07,4.71,0.57,7.72,0,TRUE
7.46,1.52,0.95,7.45,50,TRUE
7.37,4.38,0.74,7.58,50,TRUE
6.25,1.98,0.91,6.63,25,TRUE
7.21,3.39,0.57,7.38,25,TRUE
7.99,2.92,0.69,7.07,50,TRUE
7.56,4.34,0.53,7.92,50,TRUE
7.77,1.55,0.61,6.51,0,TRUE
8.18,2.12,0.66,7.25,0,TRUE
7.18,4.91,0.6,7.05,0,TRUE
7.54,3.1,0.98,6.9,0,TRUE
13.95,1.57,0.97,6.8,50,FALSE
6.93,2.68,0.54,7.46,25,TRUE
7.02,2.42,0.82,7.84,25,TRUE
6.92,2.29,0.75,7.07,25,TRUE
8.83,1.23,0.75,7.48,50,TRUE
7.38,4.65,0.73,6.77,25,TRUE
6.5,3.31,0.53,7.02,25,TRUE
6.16,1.43,0.93,6.51,25,TRUE
6.9,4.95,0.97,7.5,25,TRUE
7.16,3.44,0.86,7.79,25,TRUE
7.23,1.24,0.7,6.75,0,TRUE
8.65,2.83,0.61,7.03,50,TRUE
8.21,3.16,0.64,7.01,50,TRUE
12.12,3.94,0.99,7.66,25,FALSE
8.72,1.6,0.88,7.82,50,TRUE
8.53,3.16,0.91,7.63,50,TRUE
8.04,2.9,0.94,7.78,25,TRUE
6.65,2.01,0.71,7.5,0,TRUE
8.66,4.32,0.52,7.77,50,TRUE
7.44,4.77,0.87,6.95,0,TRUE
6.39,4.26,0.64,6.98,25,TRUE
7.25,2.38,0.87,6.8,25,TRUE
7.56,3.52,0.99,6.51,0,TRUE
8.37,1.24,0.71,7.03,50,TRUE
7.09,2.34,0.89,6.71,50,TRUE
6.57,3.7,0.51,6.8,0,TRUE
7.28,4.04,0.52,15.81,0,FALSE
7.77,3.36,0.68,6.85,0,TRUE
7.06,3.0,0.77,6.66,50,TRUE
7.84,3.75,0.55,7.43,25,TRUE
7.68,3.2,0.92,7.3,0,TRUE
6.74,3.54,0.74,7.26,0,TRUE
7.56,3.51,0.71,7.51,25,TRUE
8.93,2.54,0.88,6.63,50,TRUE
7.12,2.71,0.97,7.17,25,TRUE
7.61,3.56,0.8,7.31,0,TRUE
7.99,2.07,0.74,7.78,25,TRUE
7.4,3.24,0.77,7.71,50,TRUE
8.53,1.94,0.71,6.6,50,TRUE
9.6,2.86,0.73,7.92,0,FALSE
6.81,2.06,0.78,7.18,0,TRUE
6.39,1.61,0.61,6.85,25,TRUE
7.69,2.43,0.51,7.61,0,TRUE
7.12,1.56,0.53,7.52,50,TRUE
7.39,2.62,0.9,6.97,0,TRUE
8.2,4.1,0.93,6.86,0,TRUE
7.57,3.23,0.63,6.78,25,TRUE
7.89,3.34,0.54,7.47,50,TRUE
8.49,1.65,0.87,7.31,0,TRUE
7.3,2.64,0.7,7.99,50,TRUE
7.13,3.08,0.93,7.24,50,TRUE
7.35,4.87,0.74,7.14,0,TRUE
6.88,1.09,18.74,6.51,50,FALSE
8.65,2.47,0.81,6.98,50,TRUE
8.08,1.27,0.52,7.03,50,TRUE
7.65,4.37,0.86,6.99,25,TRUE
8.18,3.06,0.71,7.9,0,TRUE
6.53,1.0,0.98,7.58,0,TRUE
7.04,1.84,0.8,7.93,25,TRUE
8.26,4.39,0.59,6.88,0,TRUE
6.6,4.75,0.64,6.59,25,TRUE
8.01,3.07,0.99,6.77,0,TRUE
6.11,4.38,0.7,7.51,25,TRUE
6.93,4.85,0.54,7.0,25,TRUE
7.97,4.44,0.78,7.88,0,TRUE
13.08,3.66,0.98,7.12,0,FALSE
7.41,3.72,0.89,7.47,0,TRUE
8.8,4.71,0.55,6.67,50,TRUE
6.47,2.23,0.71,6.89,25,TRUE
8.0,3.12,0.8,7.15,0,TRUE
6.66,2.0,0.99,6.82,25,TRUE
7.78,4.98,0.79,6.92,50,TRUE
8.14,2.56,0.73,7.22,0,TRUE
7.91,4.19,0.77,7.3,25,TRUE
7.56,2.68,0.62,6.6,0,TRUE
7.53,1.94,0.77,6.87,50,TRUE
7.72,4.49,0.67,7.75,0,TRUE
7.53,4.92,0.53,7.93,25,TRUE
12.11,4.56,0.8,7.41,25,FALSE
7.32,2.01,0.61,7.73,25,TRUE
8.71,2.37,0.67,6.68,50,TRUE
7.18,4.25,0.71,7.16,25,TRUE
8.29,1.26,0.96,7.47,0,TRUE
8.78,4.97,0.97,7.4,50,TRUE
7.96,2.77,0.95,7.43,0,TRUE
8.05,2.73,0.92,7.62,0,TRUE
7.28,2.5,0.65,7.76,25,TRUE
7.9,1.16,0.97,7.92,25,TRUE
6.88,2.55,0.78,6.97,0,TRUE
8.19,1.27,0.89,7.93,50,TRUE
7.78,2.29,0.82,7.21,0,TRUE
7.69,11.12,0.74,7.63,0,FALSE
6.77,4.21,0.85,7.64,0,TRUE
7.64,2.55,0.85,7.96,0,TRUE
7.55,3.15,0.63,7.14,25,TRUE
6.45,1.43,0.67,7.58,25,TRUE
7.93,4.43,0.65,8.0,25,TRUE
6.13,3.59,0.9,6.7,25,TRUE
7.6,3.65,0.83,6.91,50,TRUE
8.49,4.49,0.94,7.16,0,TRUE
8.29,1.42,0.9,6.89,0,TRUE
8.72,4.99,0.67,7.52,50,TRUE
6.77,4.12,0.75,7.77,0,TRUE
8.85,3.58,0.94,7.4,50,TRUE
6.74,8.81,0.97,6.88,25,FALSE
8.1,2.73,0.76,6.55,0,TRUE
8.96,3.45,0.67,6.78,50,TRUE
7.03,1.86,0.58,6.72,50,TRUE
6.27,4.05,0.52,7.92,25,TRUE
6.95,4.36,0.77,7.31,0,TRUE
8.47,2.16,0.69,7.45,0,TRUE
7.1,1.95,0.82,6.81,25,TRUE
7.42,2.1,0.78,7.08,0,TRUE
8.3,2.78,0.85,7.44,50,TRUE
7.64,4.85,0.81,7.06,25,TRUE
6.73,4.21,0.78,7.66,0,TRUE
7.49,2.92,0.53,6.87,50,TRUE
6.81,1.55,0.7,18.36,25,FALSE
7.46,1.07,0.67,6.76,0,TRUE
8.9,4.35,0.91,7.15,50,TRUE
8.35,3.9,0.62,7.31,0,TRUE
7.99,3.44,0.91,7.38,0,TRUE
7.62,2.62,0.6,6.64,0,TRUE
7.78,2.39,0.62,6.71,50,TRUE
7.08,1.39,0.67,7.8,0,TRUE
6.19,4.79,0.87,6.66,25,TRUE
7.94,1.87,0.56,6.75,50,TRUE
6.59,4.34,0.79,6.56,0,TRUE
7.41,3.53,0.85,7.48,0,TRUE
8.45,2.2,0.95,7.97,50,TRUE
7.14,3.36,0.94,10.2,50,FALSE
8.06,3.15,0.57,7.11,50,TRUE
7.23,1.98,0.56,7.13,50,TRUE
8.37,1.52,0.65,6.86,0,TRUE
7.66,2.1,0.62,7.04,50,TRUE
7.71,1.82,0.89,6.58,25,TRUE
7.62,3.78,0.71,7.1,0,TRUE
6.43,4.23,0.66,7.44,25,TRUE
6.76,4.24,0.9,6.64,25,TRUE
7.39,3.5,0.56,7.94,25,TRUE
7.07,4.23,0.88,7.24,0,TRUE
7.19,1.93,0.75,7.92,25,TRUE
8.89,4.03,0.96,6.76,50,TRUE
7.07,4.91,0.98,11.62,0,FALSE
6.18,1.37,0.86,7.97,25,TRUE
8.52,1.22,0.73,7.54,50,TRUE
7.05,1.55,0.67,7.27,0,TRUE
8.2,1.29,0.56,6.82,50,TRUE
8.59,3.01,0.92,7.47,50,TRUE
7.83,2.33,0.53,6.64,50,TRUE
6.64,3.25,0.7,7.25,25,TRUE
8.42,3.09,0.88,7.11,50,TRUE
7.81,1.02,0.56,7.74,50,TRUE
7.26,1.63,0.51,7.54,0,TRUE
6.14,2.88,0.63,7.85,25,TRUE
7.43,3.36,0.94,7.58,50,TRUE
7.51,4.07,10.56,7.14,25,FALSE
7.02,2.71,0.98,7.0,50,TRUE
7.66,3.54,0.93,7.47,0,TRUE
7.26,2.75,0.82,7.94,50,TRUE
7.95,1.26,0.6,7.56,50,TRUE
6.88,4.73,0.94,6.58,0,TRUE
7.98,1.07,0.83,6.62,0,TRUE
7.46,2.92,0.53,6.99,25,TRUE
7.02,4.31,0.72,7.68,50,TRUE
7.26,2.17,0.82,7.06,50,TRUE
7.63,3.21,0.61,6.54,0,TRUE
8.69,4.71,0.67,7.42,50,TRUE
7.74,1.44,0.88,7.44,50,TRUE
7.12,2.59,0.63,6.99,25,FALSE
7.5,4.99,0.77,6.61,0,TRUE
7.38,2.22,0.69,6.68,50,TRUE
7.72,1.89,0.98,7.16,50,TRUE
7.33,2.92,0.6,7.33,25,TRUE
6.31,2.59,0.62,6.68,25,TRUE
7.57,4.11,0.71,7.61,0,TRUE
6.63,2.97,0.92,7.17,0,TRUE
7.8,3.31,0.97,7.07,25,TRUE
6.95,4.72,0.81,6.55,25,TRUE
8.84,4.31,0.86,7.9,50,TRUE
7.87,1.34,0.57,7.5,50,TRUE
7.16,2.18,0.75,7.99,50,TRUE
7.53,9.86,0.75,7.41,50,FALSE
7.97,2.23,1.0,7.82,0,TRUE
8.44,4.77,0.69,7.24,0,TRUE
6.81,2.69,0.63,6.68,25,TRUE
8.07,2.0,0.53,7.25,0,TRUE
7.75,4.33,0.81,7.82,25,TRUE
8.65,2.79,0.66,7.31,50,TRUE
7.08,1.31,0.71,7.38,0,TRUE
8.94,4.35,0.9,7.71,50,TRUE
6.54,4.62,0.51,7.22,25,TRUE
7.34,1.92,0.8,8.0,0,TRUE
6.5,4.85,0.78,6.75,25,TRUE
7.68,2.87,0.61,7.69,50,TRUE
11.43,4.15,0.58,7.84,0,FALSE
7.93,4.65,0.85,8.0,50,TRUE
6.56,1.96,0.64,7.01,25,TRUE
7.16,4.12,0.84,7.76,25,TRUE
6.75,3.65,0.89,7.58,25,TRUE
7.83,4.41,0.98,7.94,50,TRUE
7.82,1.9,0.9,7.46,25,TRUE
7.09,3.89,0.92,7.51,0,TRUE
7.53,3.35,0.77,6.95,25,TRUE
6.27,4.92,0.58,7.59,25,TRUE
7.84,3.86,0.95,7.51,0,TRUE
6.57,1.6,0.7,7.33,25,TRUE
6.72,2.05,0.82,7.57,25,TRUE
6.54,4.97,9.47,6.7,25,FALSE
7.14,1.88,0.96,7.73,25,TRUE
7.18,1.28,0.71,6.72,50,TRUE
8.35,1.12,0.65,7.06,0,TRUE
6.22,2.74,0.5,7.55,25,TRUE
7.55,1.21,0.71,7.54,0,TRUE
7.82,3.53,0.52,7.16,0,TRUE
6.17,2.33,0.85,6.77,25,TRUE
6.61,1.39,0.84,7.11,25,TRUE
7.04,3.55,0.76,7.83,25,TRUE
8.44,3.99,0.9,6.77,0,TRUE
8.65,2.22,0.76,7.31,50,TRUE
6.71,1.25,1.0,7.83,25,TRUE
7.85,19.16,0.72,6.81,25,FALSE
8.34,3.13,0.85,7.11,50,TRUE
6.53,2.09,0.92,7.51,0,TRUE
7.26,4.64,0.89,7.37,0,TRUE
7.81,1.47,0.61,7.79,25,TRUE
7.26,4.44,0.77,7.16,0,TRUE
7.72,1.62,0.67,7.48,0,TRUE
7.23,2.52,0.57,7.06,0,TRUE
7.72,2.47,0.61,6.53,50,TRUE
7.12,2.2,0.78,7.64,50,TRUE
7.28,1.58,0.57,7.86,25,TRUE
8.75,3.23,0.97,7.04,50,TRUE
6.85,3.02,0.86,7.91,0,TRUE
7.04,2.82,0.79,11.13,50,FALSE
7.31,2.78,0.61,7.98,25,TRUE
6.57,4.62,0.93,6.97,25,TRUE
8.34,1.09,0.75,7.83,0,TRUE
8.37,4.03,0.58,7.98,50,TRUE
7.6,2.01,0.74,7.45,50,TRUE
7.68,1.93,0.99,7.34,0,TRUE
7.97,2.41,0.69,6.89,50,TRUE
8.34,3.83,0.56,6.58,50,TRUE
7.18,2.17,0.56,7.95,25,TRUE
7.17,1.31,0.7,6.98,25,TRUE
8.74,3.36,0.76,7.86,50,TRUE
7.09,3.34,0.53,7.31,50,TRUE
7.79,11.24,0.97,7.88,25,FALSE
7.1,2.48,0.72,6.82,50,TRUE
7.9,1.06,0.5,6.92,0,TRUE
7.15,2.41,0.69,7.56,25,TRUE
7.9,3.99,0.59,7.83,25,TRUE
8.53,1.45,0.57,6.53,50,TRUE
7.37,2.77,0.72,7.51,50,TRUE
8.03,3.68,0.63,7.01,0,TRUE
6.71,1.72,0.52,6.83,0,TRUE
7.3,2.97,0.75,7.97,0,TRUE
6.82,4.03,0.89,7.47,0,TRUE
6.82,4.87,0.73,7.07,25,TRUE
6.62,4.94,0.95,7.43,25,TRUE
10.49,3.33,0.97,7.68,25,FALSE
7.37,2.56,0.83,6.62,0,TRUE
7.68,4.64,0.58,7.6,0,TRUE
8.4,1.47,0.75,7.53,50,TRUE
7.03,1.07,0.91,7.32,50,TRUE
8.3,2.81,0.62,6.83,50,TRUE
7.2,3.82,0.8,6.8,25,TRUE
7.65,3.33,0.89,7.84,50,TRUE
6.56,3.11,0.99,6.84,25,TRUE
7.1,1.38,0.61,6.68,50,TRUE
8.31,3.74,0.84,6.98,50,TRUE
8.15,4.86,0.57,6.64,0,TRUE
7.88,2.77,0.82,6.52,25,TRUE
9.77,4.05,0.65,7.91,0,FALSE
7.39,4.63,0.65,6.52,0,TRUE
6.77,3.7,0.97,7.89,0,TRUE
7.82,2.48,0.66,7.63,50,TRUE
6.62,2.98,0.81,7.15,25,TRUE
6.99,1.16,0.59,7.35,25,TRUE
8.47,2.99,0.87,7.22,50,TRUE
6.81,2.95,0.81,6.52,25,TRUE
7.95,1.32,0.76,7.26,0,TRUE
7.22,2.38,0.82,7.2,25,TRUE
7.96,4.52,0.66,7.48,50,TRUE
7.06,4.56,0.8,7.73,0,TRUE
7.62,4.86,0.6,7.91,25,TRUE
13.66,2.57,0.55,7.36,50,FALSE
7.3,2.03,0.67,7.25,0,TRUE
7.53,2.84,0.9,7.79,0,TRUE
7.1,2.17,0.62,7.49,0,TRUE
7.27,4.27,0.88,7.56,25,TRUE
7.92,2.74,0.98,7.62,50,TRUE
8.05,4.72,0.67,6.87,50,TRUE
6.45,4.44,0.58,6.63,25,TRUE
6.84,1.51,0.67,7.5,0,TRUE
8.78,4.57,0.72,6.83,50,TRUE
7.89,3.23,0.91,6.69,50,TRUE
6.87,4.01,0.68,6.88,25,TRUE
7.31,1.05,0.6,7.52,0,TRUE
7.13,4.53,0.55,7.16,0,FALSE
7.23,2.08,0.64,7.82,25,TRUE
7.61,3.93,0.52,7.52,50,TRUE
6.47,2.83,0.95,7.54,25,TRUE
7.11,2.77,0.58,6.66,50,TRUE
7.78,1.95,0.84,7.52,0,TRUE
7.22,1.73,0.81,6.72,0,TRUE
7.58,2.52,0.89,7.99,0,TRUE
8.87,2.75,0.71,7.72,50,TRUE
8.27,2.09,0.8,7.89,50,TRUE
8.39,4.26,0.98,7.02,50,TRUE
7.65,3.51,0.97,7.98,50,TRUE
8.01,2.37,0.73,7.23,0,TRUE
6.69,4.48,4.96,7.48,50,FALSE
6.69,1.14,0.51,7.95,0,TRUE
6.87,2.98,0.55,7.52,0,TRUE
8.1,3.51,0.61,7.14,50,TRUE
7.28,1.07,0.87,7.44,50,TRUE
7.39,3.02,0.68,6.72,25,TRUE
8.75,2.66,0.64,7.32,50,TRUE
6.52,2.31,1.0,7.19,0,TRUE
8.45,3.43,0.93,6.69,0,TRUE
8.97,3.94,0.68,7.38,50,TRUE
7.45,2.91,0.76,6.55,0,TRUE
8.18,4.81,0.81,7.19,0,TRUE
7.53,4.93,0.54,7.89,0,TRUE
13.27,3.34,0.79,7.87,50,FALSE
6.13,1.25,0.55,7.22,25,TRUE
8.27,1.56,0.97,6.9,0,TRUE
7.79,4.52,0.97,7.4,50,TRUE
8.83,1.07,0.76,7.83,50,TRUE
7.9,2.02,0.9,6.79,25,TRUE
7.64,2.83,0.73,7.54,0,TRUE
7.71,2.51,0.55,7.41,0,TRUE
8.7,4.8,0.97,7.75,50,TRUE
6.74,3.42,1.0,7.2,0,TRUE
8.48,1.03,0.89,6.94,0,TRUE
7.76,3.61,0.85,6.58,25,TRUE
7.1,1.53,0.76,7.55,0,TRUE
6.8,7.68,0.51,7.16,25,FALSE
6.64,1.69,0.8,7.44,25,TRUE
8.42,4.47,0.8,7.1,50,TRUE
6.25,2.21,0.95,7.84,25,TRUE
6.28,1.55,0.88,7.18,25,TRUE
7.43,4.37,0.59,7.61,0,TRUE
7.45,3.85,0.52,7.12,25,TRUE
8.54,4.68,0.95,7.67,50,TRUE
8.25,3.37,0.78,7.59,0,TRUE
8.9,3.89,0.68,6.53,50,TRUE
6.21,1.69,0.94,7.47,25,TRUE
8.64,3.27,0.52,7.48,50,TRUE
6.23,1.4,0.77,7.64,25,TRUE
11.58,3.37,0.91,7.82,50,FALSE
6.69,2.93,0.79,7.35,25,TRUE
7.05,1.97,0.99,7.21,50,TRUE
7.77,1.27,0.64,6.84,50,TRUE
8.38,1.71,0.8,7.65,50,TRUE
6.71,2.58,0.53,6.61,25,TRUE
7.92,3.68,0.52,7.11,25,TRUE
8.31,1.91,0.57,6.68,0,TRUE
8.8,3.23,0.92,7.59,50,TRUE
7.63,4.6,0.56,6.72,0,TRUE
7.48,2.83,0.83,7.17,0,TRUE
6.75,4.21,0.86,7.17,25,TRUE
7.73,3.44,1.0,7.17,50,TRUE
10.41,3.46,0.92,7.66,0,FALSE
8.24,4.6,0.5,6.56,0,TRUE
7.46,4.41,0.8,7.57,50,TRUE
7.69,2.37,0.83,6.59,0,TRUE
7.56,2.07,0.91,7.85,50,TRUE
8.21,1.99,0.54,7.36,50,TRUE
6.66,2.74,0.81,7.41,0,TRUE
6.88,4.55,0.99,7.34,0,TRUE
7.53,4.68,0.62,6.8,50,TRUE
7.78,3.66,0.61,7.35,25,TRUE
6.78,3.0,0.78,7.48,25,TRUE
7.49,3.75,0.6,7.38,25,TRUE
7.4,3.99,0.58,6.52,50,TRUE
13.97,4.84,0.56,7.34,50,FALSE
7.41,4.68,0.64,7.06,50,TRUE
7.47,3.18,0.78,7.04,0,TRUE
6.59,4.44,0.66,7.18,0,TRUE
7.79,4.42,0.65,6.79,25,TRUE
7.38,3.34,0.99,7.48,50,TRUE
7.12,2.87,0.75,6.62,25,TRUE
7.6,3.72,0.87,6.62,50,TRUE
8.97,2.07,0.69,7.72,50,TRUE
7.32,4.19,0.67,7.54,25,TRUE
6.2,4.15,0.62,7.96,25,TRUE
7.27,3.7,0.9,7.87,0,TRUE
6.55,3.13,0.85,7.78,0,TRUE
7.96,1.32,0.66,7.05,25,FALSE
7.56,2.87,0.56,6.83,50,TRUE
8.1,2.61,0.67,7.0,50,TRUE
6.77,2.7,0.88,6.53,25,TRUE
6.72,1.86,0.63,6.82,25,TRUE
8.15,4.15,0.53,7.0,0,TRUE
7.06,3.97,0.88,7.05,25,TRUE
